Enroll_Academic_Period,Institution_Name,Gender,Nationality,Total Students
2021-2022 : Fall,Al Khawarizmi International College,Female,Non-National,59
2021-2022 : Spring,Al Khawarizmi International College,Female,National,16
2022-2023 : Fall,Al Khawarizmi International College,Female,National,44
2022-2023 : Spring,Al Khawarizmi International College,Female,National,27
2022-2023 : Spring,Al Khawarizmi International College,Female,Non-National,20
2019-2020 : Spring,Al Qasimiya University,Female,National,5
2020-2021 : Fall,Al Qasimiya University,Female,National,5
2021-2022 : Fall,Al Qasimiya University,Female,Non-National,506
2021-2022 : Spring,Al Qasimiya University,Female,National,9
2022-2023 : Spring,Al Qasimiya University,Female,Non-National,4
2012-2013 : Fall,Al Wasl University,Female,National,146
2013-2014 : Fall,Al Wasl University,Female,Non-National,714
2015-2016 : Fall,Al Wasl University,Female,National,88
2015-2016 : Spring,Al Wasl University,Female,Non-National,41
2016-2017 : Fall,Al Wasl University,Female,Non-National,75
2016-2017 : Spring,Al Wasl University,Female,Non-National,64
2017-2018 : Fall,Al Wasl University,Female,Non-National,329
2018-2019 : Fall,Al Wasl University,Female,Non-National,270
2019-2020 : Fall,Al Wasl University,Female,National,57
2019-2020 : Fall,Al Wasl University,Female,Non-National,308
2019-2020 : Spring,Al Wasl University,Female,National,3
2020-2021 : Fall,Al Wasl University,Female,National,36
2021-2022 : Fall,Al Wasl University,Female,Non-National,278
2021-2022 : Spring,Al Wasl University,Female,National,5
2021-2022 : Spring,Al Wasl University,Female,Non-National,3
2022-2023 : Fall,Al Wasl University,Female,National,33
2022-2023 : Fall,Al Wasl University,Female,Non-National,307
2022-2023 : Spring,Al Wasl University,Female,National,2
2022-2023 : Spring,Al Wasl University,Female,Non-National,2
2012-2013 : Fall,American College of Dubai,Female,National,1
2012-2013 : Fall,American College of Dubai,Female,Non-National,57
2012-2013 : Spring,American College of Dubai,Female,National,1
2012-2013 : Spring,American College of Dubai,Female,Non-National,17
2013-2014 : Spring,American College of Dubai,Female,Non-National,14
2014-2015 : Spring,American College of Dubai,Female,Non-National,20
2015-2016 : Fall,American College of Dubai,Female,Non-National,31
2016-2017 : Fall,American College of Dubai,Female,Non-National,34
2016-2017 : Spring,American College of Dubai,Female,Non-National,3
2017-2018 : Fall,American College of Dubai,Female,Non-National,31
2017-2018 : Summer 1,American College of Dubai,Female,Non-National,2
2020-2021 : Fall,American College of Dubai,Female,Non-National,1
2012-2013 : Spring,American University in Dubai,Female,National,4
2013-2014 : Fall,American University in Dubai,Female,National,30
2013-2014 : Fall,American University in Dubai,Female,Non-National,199
2013-2014 : Spring,American University in Dubai,Female,National,5
2013-2014 : Spring,American University in Dubai,Female,Non-National,60
2014-2015 : Fall,American University in Dubai,Female,National,42
2014-2015 : Fall,American University in Dubai,Female,Non-National,288
2014-2015 : Spring,American University in Dubai,Female,National,10
2014-2015 : Spring,American University in Dubai,Female,Non-National,51
2015-2016 : Fall,American University in Dubai,Female,National,37
2015-2016 : Fall,American University in Dubai,Female,Non-National,192
2015-2016 : Spring,American University in Dubai,Female,Non-National,46
2016-2017 : Fall,American University in Dubai,Female,National,30
2016-2017 : Fall,American University in Dubai,Female,Non-National,192
2016-2017 : Spring,American University in Dubai,Female,National,3
2016-2017 : Spring,American University in Dubai,Female,Non-National,26
2017-2018 : Fall,American University in Dubai,Female,National,20
2017-2018 : Fall,American University in Dubai,Female,Non-National,185
2017-2018 : Spring,American University in Dubai,Female,Non-National,31
2018-2019 : Spring,American University in Dubai,Female,National,3
2018-2019 : Spring,American University in Dubai,Female,Non-National,26
2018-2019 : Fall,American University in Dubai,Female,National,38
2018-2019 : Fall,American University in Dubai,Female,Non-National,129
2019-2020 : Spring,American University in Dubai,Female,Non-National,20
2020-2021 : Spring,American University in Dubai,Female,National,12
2021-2022 : Fall,American University in Dubai,Female,National,60
2021-2022 : Spring,American University in Dubai,Female,National,8
2021-2022 : Spring,American University in Dubai,Female,Non-National,28
2022-2023 : Fall,American University in Dubai,Female,Non-National,163
2012-2013 : Spring,American University in the Emirates,Female,National,41
2013-2014 : Fall,American University in the Emirates,Female,National,37
2013-2014 : Fall,American University in the Emirates,Female,Non-National,73
2013-2014 : Spring,American University in the Emirates,Female,National,30
2013-2014 : Spring,American University in the Emirates,Female,Non-National,38
2014-2015 : Fall,American University in the Emirates,Female,National,52
2014-2015 : Fall,American University in the Emirates,Female,Non-National,121
2014-2015 : Spring,American University in the Emirates,Female,National,43
2014-2015 : Spring,American University in the Emirates,Female,Non-National,68
2015-2016 : Fall,American University in the Emirates,Female,National,45
2015-2016 : Fall,American University in the Emirates,Female,Non-National,113
2015-2016 : Spring,American University in the Emirates,Female,Non-National,48
2016-2017 : Fall,American University in the Emirates,Female,National,39
2016-2017 : Fall,American University in the Emirates,Female,Non-National,116
2016-2017 : Spring,American University in the Emirates,Female,National,35
2016-2017 : Spring,American University in the Emirates,Female,Non-National,38
2017-2018 : Fall,American University in the Emirates,Female,National,41
2017-2018 : Fall,American University in the Emirates,Female,Non-National,105
2017-2018 : Spring,American University in the Emirates,Female,Non-National,38
2017-2018 : Summer 1,American University in the Emirates,Female,National,5
2018-2019 : Spring,American University in the Emirates,Female,National,32
2018-2019 : Spring,American University in the Emirates,Female,Non-National,37
2019-2020 : Fall,American University in the Emirates,Female,National,66
2019-2020 : Fall,American University in the Emirates,Female,Non-National,75
2019-2020 : Spring,American University in the Emirates,Female,National,29
2020-2021 : Fall,American University in the Emirates,Female,National,41
2020-2021 : Fall,American University in the Emirates,Female,Non-National,45
2020-2021 : Spring,American University in the Emirates,Female,Non-National,25
2021-2022 : Fall,American University in the Emirates,Female,National,49
2021-2022 : Fall,American University in the Emirates,Female,Non-National,48
2022-2023 : Spring,American University in the Emirates,Female,National,56
2022-2023 : Spring,American University in the Emirates,Female,Non-National,30
2012-2013 : Fall,American University of Ras Al Khaimah,Female,National,21
2012-2013 : Fall,American University of Ras Al Khaimah,Female,Non-National,21
2012-2013 : Spring,American University of Ras Al Khaimah,Female,National,12
2012-2013 : Spring,American University of Ras Al Khaimah,Female,Non-National,13
2013-2014 : Fall,American University of Ras Al Khaimah,Female,National,47
2013-2014 : Fall,American University of Ras Al Khaimah,Female,Non-National,64
2013-2014 : Spring,American University of Ras Al Khaimah,Female,National,5
2019-2020 : Fall,American University in Dubai,Female,National,27
2019-2020 : Fall,American University in Dubai,Female,Non-National,116
2019-2020 : Spring,American University in Dubai,Female,National,4
2020-2021 : Fall,American University in Dubai,Female,National,60
2020-2021 : Fall,American University in Dubai,Female,Non-National,140
2020-2021 : Spring,American University in Dubai,Female,Non-National,26
2021-2022 : Fall,American University in Dubai,Female,Non-National,121
2022-2023 : Fall,American University in Dubai,Female,National,86
2022-2023 : Spring,American University in Dubai,Female,National,2
2022-2023 : Spring,American University in Dubai,Female,Non-National,20
2012-2013 : Fall,American University in the Emirates,Female,National,59
2012-2013 : Fall,American University in the Emirates,Female,Non-National,47
2012-2013 : Spring,American University in the Emirates,Female,Non-National,49
2015-2016 : Spring,American University in the Emirates,Female,National,35
2017-2018 : Spring,American University in the Emirates,Female,National,37
2017-2018 : Summer 1,American University in the Emirates,Female,Non-National,4
2018-2019 : Fall,American University in the Emirates,Female,National,69
2018-2019 : Fall,American University in the Emirates,Female,Non-National,71
2018-2019 : Summer 1,American University in the Emirates,Female,National,9
2018-2019 : Summer 1,American University in the Emirates,Female,Non-National,8
2019-2020 : Spring,American University in the Emirates,Female,Non-National,32
2020-2021 : Spring,American University in the Emirates,Female,National,16
2021-2022 : Spring,American University in the Emirates,Female,National,27
2021-2022 : Spring,American University in the Emirates,Female,Non-National,34
2022-2023 : Fall,American University in the Emirates,Female,National,42
2022-2023 : Fall,American University in the Emirates,Female,Non-National,51
2014-2015 : Fall,American University of Ras Al Khaimah,Female,National,34
2015-2016 : Fall,American University of Ras Al Khaimah,Female,Non-National,59
2016-2017 : Fall,American University of Ras Al Khaimah,Female,National,34
2016-2017 : Fall,American University of Ras Al Khaimah,Female,Non-National,49
2016-2017 : Spring,American University of Ras Al Khaimah,Female,National,15
2017-2018 : Fall,American University of Ras Al Khaimah,Female,Non-National,100
2017-2018 : Winter,American University of Ras Al Khaimah,Female,National,31
2017-2018 : Winter,American University of Ras Al Khaimah,Female,Non-National,15
2018-2019 : Fall,American University of Ras Al Khaimah,Female,National,61
2020-2021 : Fall,American University of Ras Al Khaimah,Female,Non-National,40
2020-2021 : Spring,American University of Ras Al Khaimah,Female,National,62
2020-2021 : Spring,American University of Ras Al Khaimah,Female,Non-National,55
2020-2021 : Summer 1,American University of Ras Al Khaimah,Female,National,5
2021-2022 : Fall,American University of Ras Al Khaimah,Female,National,78
2021-2022 : Fall,American University of Ras Al Khaimah,Female,Non-National,81
2021-2022 : Spring,American University of Ras Al Khaimah,Female,Non-National,23
2021-2022 : Summer 1,American University of Ras Al Khaimah,Female,National,1
2022-2023 : Spring,American University of Ras Al Khaimah,Female,Non-National,29
2013-2014 : Fall,American University of Sharjah,Female,National,130
2013-2014 : Spring,American University of Sharjah,Female,Non-National,156
2014-2015 : Fall,American University of Sharjah,Female,National,160
2013-2014 : Spring,American University of Ras Al Khaimah,Female,Non-National,13
2014-2015 : Fall,American University of Ras Al Khaimah,Female,Non-National,35
2014-2015 : Spring,American University of Ras Al Khaimah,Female,National,15
2014-2015 : Spring,American University of Ras Al Khaimah,Female,Non-National,15
2015-2016 : Fall,American University of Ras Al Khaimah,Female,National,52
2015-2016 : Spring,American University of Ras Al Khaimah,Female,National,17
2015-2016 : Spring,American University of Ras Al Khaimah,Female,Non-National,26
2016-2017 : Spring,American University of Ras Al Khaimah,Female,Non-National,27
2017-2018 : Fall,American University of Ras Al Khaimah,Female,National,53
2017-2018 : Summer 1,American University of Ras Al Khaimah,Female,National,1
2018-2019 : Fall,American University of Ras Al Khaimah,Female,Non-National,37
2018-2019 : Spring,American University of Ras Al Khaimah,Female,National,20
2018-2019 : Spring,American University of Ras Al Khaimah,Female,Non-National,10
2019-2020 : Fall,American University of Ras Al Khaimah,Female,National,60
2019-2020 : Fall,American University of Ras Al Khaimah,Female,Non-National,47
2019-2020 : Spring,American University of Ras Al Khaimah,Female,National,21
2019-2020 : Spring,American University of Ras Al Khaimah,Female,Non-National,14
2020-2021 : Fall,American University of Ras Al Khaimah,Female,National,55
2020-2021 : Summer 1,American University of Ras Al Khaimah,Female,Non-National,5
2021-2022 : Spring,American University of Ras Al Khaimah,Female,National,28
2021-2022 : Summer 1,American University of Ras Al Khaimah,Female,Non-National,1
2022-2023 : Fall,American University of Ras Al Khaimah,Female,National,48
2022-2023 : Fall,American University of Ras Al Khaimah,Female,Non-National,89
2022-2023 : Spring,American University of Ras Al Khaimah,Female,National,9
2012-2013 : Fall,American University of Sharjah,Female,National,142
2012-2013 : Fall,American University of Sharjah,Female,Non-National,521
2012-2013 : Spring,American University of Sharjah,Female,National,17
2012-2013 : Spring,American University of Sharjah,Female,Non-National,118
2013-2014 : Fall,American University of Sharjah,Female,Non-National,638
2013-2014 : Spring,American University of Sharjah,Female,National,17
2014-2015 : Spring,American University of Sharjah,Female,National,21
2015-2016 : Fall,American University of Sharjah,Female,National,146
2016-2017 : Fall,American University of Sharjah,Female,Non-National,536
2016-2017 : Spring,American University of Sharjah,Female,Non-National,82
2017-2018 : Fall,American University of Sharjah,Female,Non-National,492
2017-2018 : Summer 1,American University of Sharjah,Female,National,2
2017-2018 : Summer 1,American University of Sharjah,Female,Non-National,5
2018-2019 : Fall,American University of Sharjah,Female,Non-National,385
2018-2019 : Summer 1,American University of Sharjah,Female,Non-National,4
2019-2020 : Fall,American University of Sharjah,Female,National,179
2019-2020 : Fall,American University of Sharjah,Female,Non-National,500
2019-2020 : Spring,American University of Sharjah,Female,National,16
2020-2021 : Fall,American University of Sharjah,Female,National,207
2020-2021 : Summer 1,American University of Sharjah,Female,Non-National,8
2021-2022 : Fall,American University of Sharjah,Female,Non-National,489
2021-2022 : Spring,American University of Sharjah,Female,National,21
