Academic Year _____,Education Type ___ _______ (AR),Education Type ___ _______ (EN), Region _______ _________ (AR), Region _______ _________ (EN),Cycle ______ (AR),Cycle ______ (EN),Grade ____ (AR),Grade ____ (EN),Gender _____ (AR),Gender _____ (EN),Emirati\Expat _____/____ (AR),Emirati\Expat _____/____ (EN),Pass Percentage ____ ______,Students Count ___ ______
2023-2024,_______ ________,Public,_______,AL FUJAIRAH,____ ____,Cycle1,____ _____,Grade 1,____,Female,____,Resident,92.86%,14
2023-2024,_______ ________,Public,_______,AL FUJAIRAH,____ ____,Cycle1,____ _____,Grade 1,___,Male,_______,Emirati,100.00%,617
2023-2024,_______ ________,Public,_______,AL FUJAIRAH,____ ____,Cycle1,____ _____,Grade 1,___,Male,____,Resident,100.00%,26
2023-2024,_______ ________,Public,_______,AL FUJAIRAH,____ ____,Cycle1,____ ______,Grade 3,____,Female,_______,Emirati,100.00%,875
2023-2024,_______ ________,Public,_______,AL FUJAIRAH,____ ____,Cycle1,____ ______,Grade 3,____,Female,____,Resident,100.00%,27
2023-2024,_______ ________,Public,_______,AL FUJAIRAH,____ ____,Cycle1,____ ______,Grade 3,___,Male,_______,Emirati,100.00%,915
2023-2024,_______ ________,Public,_______,AL FUJAIRAH,____ ____,Cycle1,____ ______,Grade 3,___,Male,____,Resident,100.00%,23
2023-2024,_______ ________,Public,_______,AL FUJAIRAH,____ ____,Cycle1,____ ______,Grade 2,____,Female,_______,Emirati,100.00%,828
2023-2024,_______ ________,Public,_______,AL FUJAIRAH,____ ____,Cycle1,____ ______,Grade 2,____,Female,____,Resident,100.00%,25
2023-2024,_______ ________,Public,_______,AL FUJAIRAH,____ ____,Cycle1,____ ______,Grade 2,___,Male,_______,Emirati,100.00%,857
2023-2024,_______ ________,Public,_______,AL FUJAIRAH,____ ____,Cycle1,____ ______,Grade 2,___,Male,____,Resident,100.00%,13
2023-2024,_______ ________,Public,_______,AL FUJAIRAH,____ ____,Cycle1,____ ______,Grade 4,____,Female,_______,Emirati,100.00%,932
2023-2024,_______ ________,Public,_______,AL FUJAIRAH,____ ____,Cycle1,____ ______,Grade 4,____,Female,____,Resident,100.00%,23
2023-2024,_______ ________,Public,_______,AL FUJAIRAH,____ ____,Cycle1,____ ______,Grade 4,___,Male,_______,Emirati,100.00%,912
2023-2024,_______ ________,Public,_______,AL FUJAIRAH,____ ____,Cycle1,____ ______,Grade 4,___,Male,____,Resident,100.00%,24
2023-2024,_______ ________,Public,_______,AL FUJAIRAH,____ _____,Cycle3,____ ______,Grade 9,____,Female,_______,Emirati,97.46%,984
2023-2024,_______ ________,Public,_______,AL FUJAIRAH,____ _____,Cycle3,____ ______,Grade 9,____,Female,____,Resident,96.30%,27
2023-2024,_______ ________,Public,_______,AL FUJAIRAH,____ _____,Cycle3,____ ______,Grade 9,___,Male,_______,Emirati,93.27%,787
2023-2024,_______ ________,Public,_______,AL FUJAIRAH,____ _____,Cycle3,____ ______,Grade 9,___,Male,____,Resident,100.00%,24
2023-2024,_______ ________,Public,_______,AL FUJAIRAH,____ _____,Cycle3,____ ______ ___,Grade 12,____,Female,_______,Emirati,99.45%,903
2023-2024,_______ ________,Public,_______,AL FUJAIRAH,____ _____,Cycle3,____ ______ ___,Grade 12,____,Female,____,Resident,100.00%,35
2023-2024,_______ ________,Public,_______,AL FUJAIRAH,____ _____,Cycle3,____ ______ ___,Grade 12,___,Male,_______,Emirati,95.92%,687
2023-2024,_______ ________,Public,_______,AL FUJAIRAH,____ _____,Cycle3,____ ______ ___,Grade 12,___,Male,____,Resident,100.00%,38
2023-2024,_______ ________,Public,_______,AL FUJAIRAH,____ _____,Cycle3,____ ______ ___,Grade 11,____,Female,_______,Emirati,99.14%,926
2023-2024,_______ ________,Public,_______,AL FUJAIRAH,____ _____,Cycle3,____ ______ ___,Grade 11,____,Female,____,Resident,97.96%,49
2023-2024,_______ ________,Public,_______,AL FUJAIRAH,____ _____,Cycle3,____ ______ ___,Grade 11,___,Male,_______,Emirati,96.68%,722
2023-2024,_______ ________,Public,_______,AL FUJAIRAH,____ _____,Cycle3,____ ______ ___,Grade 11,___,Male,____,Resident,100.00%,37
2023-2024,_______ ________,Public,_______,AL FUJAIRAH,____ _____,Cycle3,____ ______,Grade 10,____,Female,_______,Emirati,96.78%,994
2023-2024,_______ ________,Public,_______,AL FUJAIRAH,____ _____,Cycle3,____ ______,Grade 10,____,Female,____,Resident,97.62%,42
2023-2024,_______ ________,Public,_______,AL FUJAIRAH,____ _____,Cycle3,____ ______,Grade 10,___,Male,_______,Emirati,92.66%,804
2023-2024,_______ ________,Public,_______,AL FUJAIRAH,____ _____,Cycle3,____ ______,Grade 10,___,Male,____,Resident,96.43%,28
2023-2024,_______ ________,Public,_______,AL FUJAIRAH,____ _____,Cycle2,____ ______,Grade 8,____,Female,_______,Emirati,99.89%,915
2023-2024,_______ ________,Public,_______,AL FUJAIRAH,____ _____,Cycle2,____ ______,Grade 8,____,Female,____,Resident,100.00%,28
2023-2024,_______ ________,Public,_______,AL FUJAIRAH,____ _____,Cycle2,____ ______,Grade 8,___,Male,_______,Emirati,97.42%,775
2023-2024,_______ ________,Public,_______,AL FUJAIRAH,____ _____,Cycle2,____ ______,Grade 8,___,Male,____,Resident,100.00%,32
2023-2024,_______ ________,Public,_______,AL FUJAIRAH,____ _____,Cycle2,____ ______,Grade 5,____,Female,_______,Emirati,100.00%,1041
2023-2024,_______ ________,Public,_______,AL FUJAIRAH,____ _____,Cycle2,____ ______,Grade 5,____,Female,____,Resident,100.00%,40
2023-2024,_______ ________,Public,_______,AL FUJAIRAH,____ _____,Cycle2,____ ______,Grade 5,___,Male,_______,Emirati,99.12%,1027
2023-2024,_______ ________,Public,_______,AL FUJAIRAH,____ _____,Cycle2,____ ______,Grade 5,___,Male,____,Resident,96.15%,26
2023-2024,_______ ________,Public,_______,AL FUJAIRAH,____ _____,Cycle2,____ ______,Grade 7,____,Female,_______,Emirati,99.91%,1088
2023-2024,_______ ________,Public,_______,AL FUJAIRAH,____ _____,Cycle2,____ ______,Grade 7,____,Female,____,Resident,100.00%,22
2023-2024,_______ ________,Public,_______,AL FUJAIRAH,____ _____,Cycle2,____ ______,Grade 7,___,Male,_______,Emirati,97.57%,904
2023-2024,_______ ________,Public,_______,AL FUJAIRAH,____ _____,Cycle2,____ ______,Grade 7,___,Male,____,Resident,92.59%,27
2023-2024,_______ ________,Public,_______,AL FUJAIRAH,____ _____,Cycle2,____ ______,Grade 6,____,Female,_______,Emirati,99.81%,1057
2023-2024,_______ ________,Public,_______,AL FUJAIRAH,____ _____,Cycle2,____ ______,Grade 6,____,Female,____,Resident,100.00%,42
2023-2024,_______ ________,Public,_______,AL FUJAIRAH,____ _____,Cycle2,____ ______,Grade 6,___,Male,_______,Emirati,96.72%,977
2023-2024,_______ ________,Public,_______,AL FUJAIRAH,____ _____,Cycle2,____ ______,Grade 6,___,Male,____,Resident,96.55%,29
2023-2024,_______ ________,Public,______,ABU DHABI,____ ____,Cycle1,____ _____,Grade 1,____,Female,_______,Emirati,99.91%,1066
2023-2024,_______ ________,Public,______,ABU DHABI,____ ____,Cycle1,____ _____,Grade 1,____,Female,____,Resident,99.51%,206
2023-2024,_______ ________,Public,______,ABU DHABI,____ ____,Cycle1,____ _____,Grade 1,___,Male,_______,Emirati,100.00%,1101
2023-2024,_______ ________,Public,______,ABU DHABI,____ ____,Cycle1,____ _____,Grade 1,___,Male,____,Resident,99.47%,187
2023-2024,_______ ________,Public,______,ABU DHABI,____ ____,Cycle1,____ ______,Grade 3,____,Female,_______,Emirati,99.85%,1375
2023-2024,_______ ________,Public,______,ABU DHABI,____ ____,Cycle1,____ ______,Grade 3,____,Female,____,Resident,100.00%,372
2023-2024,_______ ________,Public,______,ABU DHABI,____ ____,Cycle1,____ ______,Grade 3,___,Male,_______,Emirati,99.93%,1361
2023-2024,_______ ________,Public,______,ABU DHABI,____ ____,Cycle1,____ ______,Grade 3,___,Male,____,Resident,99.73%,374
2023-2024,_______ ________,Public,______,ABU DHABI,____ ____,Cycle1,____ ______,Grade 2,____,Female,_______,Emirati,100.00%,1322
2023-2024,_______ ________,Public,______,ABU DHABI,____ ____,Cycle1,____ ______,Grade 2,____,Female,____,Resident,100.00%,285
2023-2024,_______ ________,Public,______,ABU DHABI,____ ____,Cycle1,____ ______,Grade 2,___,Male,_______,Emirati,99.92%,1254
2023-2024,_______ ________,Public,______,ABU DHABI,____ ____,Cycle1,____ ______,Grade 2,___,Male,____,Resident,100.00%,267
2023-2024,_______ ________,Public,______,ABU DHABI,____ ____,Cycle1,____ ______,Grade 4,____,Female,_______,Emirati,100.00%,1359
2023-2024,_______ ________,Public,______,ABU DHABI,____ ____,Cycle1,____ ______,Grade 4,____,Female,____,Resident,100.00%,438
2023-2024,_______ ________,Public,______,ABU DHABI,____ ____,Cycle1,____ ______,Grade 4,___,Male,_______,Emirati,100.00%,1366
2023-2024,_______ ________,Public,______,ABU DHABI,____ ____,Cycle1,____ ______,Grade 4,___,Male,____,Resident,100.00%,440
2023-2024,_______ ________,Public,______,ABU DHABI,____ _____,Cycle3,____ ______,Grade 9,____,Female,_______,Emirati,92.39%,1591
2023-2024,_______ ________,Public,______,ABU DHABI,____ _____,Cycle3,____ ______,Grade 9,____,Female,____,Resident,96.75%,462
2023-2024,_______ ________,Public,______,ABU DHABI,____ _____,Cycle3,____ ______,Grade 9,___,Male,_______,Emirati,84.74%,1271
2023-2024,_______ ________,Public,______,ABU DHABI,____ _____,Cycle3,____ ______,Grade 9,___,Male,____,Resident,92.16%,357
2023-2024,_______ ________,Public,______,ABU DHABI,____ _____,Cycle3,____ ______ ___,Grade 12,____,Female,_______,Emirati,97.45%,1841
2023-2024,_______ ________,Public,______,ABU DHABI,____ _____,Cycle3,____ ______ ___,Grade 12,____,Female,____,Resident,98.99%,396
2023-2024,_______ ________,Public,______,ABU DHABI,____ _____,Cycle3,____ ______ ___,Grade 12,___,Male,_______,Emirati,95.85%,1760
2023-2024,_______ ________,Public,______,ABU DHABI,____ _____,Cycle3,____ ______ ___,Grade 12,___,Male,____,Resident,97.53%,405
2023-2024,_______ ________,Public,______,ABU DHABI,____ _____,Cycle3,____ ______ ___,Grade 11,____,Female,_______,Emirati,96.63%,1986
2023-2024,_______ ________,Public,______,ABU DHABI,____ _____,Cycle3,____ ______ ___,Grade 11,____,Female,____,Resident,98.61%,504
2023-2024,_______ ________,Public,______,ABU DHABI,____ _____,Cycle3,____ ______ ___,Grade 11,___,Male,_______,Emirati,93.67%,1911
2023-2024,_______ ________,Public,______,ABU DHABI,____ _____,Cycle3,____ ______ ___,Grade 11,___,Male,____,Resident,95.85%,458
2023-2024,_______ ________,Public,______,ABU DHABI,____ _____,Cycle3,____ ______,Grade 10,____,Female,_______,Emirati,91.74%,1779
2023-2024,_______ ________,Public,______,ABU DHABI,____ _____,Cycle3,____ ______,Grade 10,____,Female,____,Resident,94.51%,492
2023-2024,_______ ________,Public,______,ABU DHABI,____ _____,Cycle3,____ ______,Grade 10,___,Male,_______,Emirati,80.15%,1431
2023-2024,_______ ________,Public,______,ABU DHABI,____ _____,Cycle3,____ ______,Grade 10,___,Male,____,Resident,89.59%,413
2023-2024,_______ ________,Public,______,ABU DHABI,____ _____,Cycle2,____ ______,Grade 8,____,Female,_______,Emirati,98.90%,1358
2023-2024,_______ ________,Public,______,ABU DHABI,____ _____,Cycle2,____ ______,Grade 8,____,Female,____,Resident,99.10%,442
2023-2024,_______ ________,Public,______,ABU DHABI,____ _____,Cycle2,____ ______,Grade 8,___,Male,_______,Emirati,95.91%,1002
2023-2024,_______ ________,Public,______,ABU DHABI,____ _____,Cycle2,____ ______,Grade 8,___,Male,____,Resident,98.05%,359
2023-2024,_______ ________,Public,______,ABU DHABI,____ _____,Cycle2,____ ______,Grade 5,____,Female,_______,Emirati,99.67%,1517
2023-2024,_______ ________,Public,______,ABU DHABI,____ _____,Cycle2,____ ______,Grade 5,____,Female,____,Resident,99.62%,531
2023-2024,_______ ________,Public,______,ABU DHABI,____ _____,Cycle2,____ ______,Grade 5,___,Male,_______,Emirati,95.93%,1448
2023-2024,_______ ________,Public,______,ABU DHABI,____ _____,Cycle2,____ ______,Grade 5,___,Male,____,Resident,97.46%,473
2023-2024,_______ ________,Public,______,ABU DHABI,____ _____,Cycle2,____ ______,Grade 7,____,Female,_______,Emirati,98.56%,1530
2023-2024,_______ ________,Public,______,ABU DHABI,____ _____,Cycle2,____ ______,Grade 7,____,Female,____,Resident,98.44%,514
2023-2024,_______ ________,Public,______,ABU DHABI,____ _____,Cycle2,____ ______,Grade 7,___,Male,_______,Emirati,93.90%,1164
2023-2024,_______ ________,Public,______,ABU DHABI,____ _____,Cycle2,____ ______,Grade 7,___,Male,____,Resident,96.80%,437
2023-2024,_______ ________,Public,______,ABU DHABI,____ _____,Cycle2,____ ______,Grade 6,____,Female,_______,Emirati,96.43%,1485
2023-2024,_______ ________,Public,______,ABU DHABI,____ _____,Cycle2,____ ______,Grade 6,____,Female,____,Resident,96.99%,499
2023-2024,_______ ________,Public,______,ABU DHABI,____ _____,Cycle2,____ ______,Grade 6,___,Male,_______,Emirati,88.79%,1365
2023-2024,_______ ________,Public,______,ABU DHABI,____ _____,Cycle2,____ ______,Grade 6,___,Male,____,Resident,95.11%,491
2023-2024,_______ ________,Public,__ _______,Umm Al Quwain,____ ____,Cycle1,____ _____,Grade 1,____,Female,_______,Emirati,100.00%,76
2023-2024,_______ ________,Public,__ _______,Umm Al Quwain,____ ____,Cycle1,____ _____,Grade 1,____,Female,____,Resident,100.00%,17
2023-2024,_______ ________,Public,__ _______,Umm Al Quwain,____ ____,Cycle1,____ _____,Grade 1,___,Male,_______,Emirati,100.00%,60
2023-2024,_______ ________,Public,__ _______,Umm Al Quwain,____ ____,Cycle1,____ _____,Grade 1,___,Male,____,Resident,100.00%,17
2023-2024,_______ ________,Public,__ _______,Umm Al Quwain,____ ____,Cycle1,____ ______,Grade 3,____,Female,_______,Emirati,100.00%,97
2023-2024,_______ ________,Public,__ _______,Umm Al Quwain,____ ____,Cycle1,____ ______,Grade 3,____,Female,____,Resident,100.00%,25
2023-2024,_______ ________,Public,__ _______,Umm Al Quwain,____ ____,Cycle1,____ ______,Grade 3,___,Male,_______,Emirati,100.00%,103
2023-2024,_______ ________,Public,__ _______,Umm Al Quwain,____ ____,Cycle1,____ ______,Grade 3,___,Male,____,Resident,100.00%,26
2023-2024,_______ ________,Public,__ _______,Umm Al Quwain,____ ____,Cycle1,____ ______,Grade 2,____,Female,_______,Emirati,100.00%,107
2023-2024,_______ ________,Public,__ _______,Umm Al Quwain,____ ____,Cycle1,____ ______,Grade 2,____,Female,____,Resident,100.00%,28
2023-2024,_______ ________,Public,__ _______,Umm Al Quwain,____ ____,Cycle1,____ ______,Grade 2,___,Male,_______,Emirati,100.00%,86
2023-2024,_______ ________,Public,__ _______,Umm Al Quwain,____ ____,Cycle1,____ ______,Grade 2,___,Male,____,Resident,100.00%,23
2023-2024,_______ ________,Public,__ _______,Umm Al Quwain,____ ____,Cycle1,____ ______,Grade 4,____,Female,_______,Emirati,100.00%,115
2023-2024,_______ ________,Public,__ _______,Umm Al Quwain,____ ____,Cycle1,____ ______,Grade 4,____,Female,____,Resident,100.00%,45
2023-2024,_______ ________,Public,__ _______,Umm Al Quwain,____ ____,Cycle1,____ ______,Grade 4,___,Male,_______,Emirati,100.00%,117
2023-2024,_______ ________,Public,__ _______,Umm Al Quwain,____ ____,Cycle1,____ ______,Grade 4,___,Male,____,Resident,100.00%,21
2023-2024,_______ ________,Public,__ _______,Umm Al Quwain,____ _____,Cycle3,____ ______,Grade 9,____,Female,_______,Emirati,89.90%,198
2023-2024,_______ ________,Public,__ _______,Umm Al Quwain,____ _____,Cycle3,____ ______,Grade 9,____,Female,____,Resident,90.74%,54
2023-2024,_______ ________,Public,__ _______,Umm Al Quwain,____ _____,Cycle3,____ ______,Grade 9,___,Male,_______,Emirati,75.84%,178
2023-2024,_______ ________,Public,__ _______,Umm Al Quwain,____ _____,Cycle3,____ ______,Grade 9,___,Male,____,Resident,89.47%,38
2023-2024,_______ ________,Public,__ _______,Umm Al Quwain,____ _____,Cycle3,____ ______ ___,Grade 12,____,Female,_______,Emirati,95.98%,174
2023-2024,_______ ________,Public,__ _______,Umm Al Quwain,____ _____,Cycle3,____ ______ ___,Grade 12,____,Female,____,Resident,93.48%,46
2023-2024,_______ ________,Public,__ _______,Umm Al Quwain,____ _____,Cycle3,____ ______ ___,Grade 12,___,Male,_______,Emirati,93.18%,132
2023-2024,_______ ________,Public,__ _______,Umm Al Quwain,____ _____,Cycle3,____ ______ ___,Grade 12,___,Male,____,Resident,93.18%,44
2023-2024,_______ ________,Public,__ _______,Umm Al Quwain,____ _____,Cycle3,____ ______ ___,Grade 11,____,Female,_______,Emirati,96.77%,186
2023-2024,_______ ________,Public,__ _______,Umm Al Quwain,____ _____,Cycle3,____ ______ ___,Grade 11,____,Female,____,Resident,93.88%,49
2023-2024,_______ ________,Public,__ _______,Umm Al Quwain,____ _____,Cycle3,____ ______ ___,Grade 11,___,Male,_______,Emirati,90.24%,123
2023-2024,_______ ________,Public,__ _______,Umm Al Quwain,____ _____,Cycle3,____ ______ ___,Grade 11,___,Male,____,Resident,91.23%,57
2023-2024,_______ ________,Public,__ _______,Umm Al Quwain,____ _____,Cycle3,____ ______,Grade 10,____,Female,_______,Emirati,95.26%,211
2023-2024,_______ ________,Public,__ _______,Umm Al Quwain,____ _____,Cycle3,____ ______,Grade 10,____,Female,____,Resident,90.74%,54
2023-2024,_______ ________,Public,__ _______,Umm Al Quwain,____ _____,Cycle3,____ ______,Grade 10,___,Male,_______,Emirati,81.87%,171
2023-2024,_______ ________,Public,__ _______,Umm Al Quwain,____ _____,Cycle3,____ ______,Grade 10,___,Male,____,Resident,76.09%,46
2023-2024,_______ ________,Public,__ _______,Umm Al Quwain,____ _____,Cycle2,____ ______,Grade 8,____,Female,_______,Emirati,98.09%,209
2023-2024,_______ ________,Public,__ _______,Umm Al Quwain,____ _____,Cycle2,____ ______,Grade 8,____,Female,____,Resident,100.00%,34
2023-2024,_______ ________,Public,__ _______,Umm Al Quwain,____ _____,Cycle2,____ ______,Grade 8,___,Male,_______,Emirati,99.27%,137
2023-2024,_______ ________,Public,__ _______,Umm Al Quwain,____ _____,Cycle2,____ ______,Grade 8,___,Male,____,Resident,100.00%,40
2023-2024,_______ ________,Public,__ _______,Umm Al Quwain,____ _____,Cycle2,____ ______,Grade 5,____,Female,_______,Emirati,100.00%,226
2023-2024,_______ ________,Public,__ _______,Umm Al Quwain,____ _____,Cycle2,____ ______,Grade 5,____,Female,____,Resident,100.00%,47
2023-2024,_______ ________,Public,__ _______,Umm Al Quwain,____ _____,Cycle2,____ ______,Grade 5,___,Male,_______,Emirati,100.00%,154
2023-2024,_______ ________,Public,__ _______,Umm Al Quwain,____ _____,Cycle2,____ ______,Grade 5,___,Male,____,Resident,100.00%,57
2023-2024,_______ ________,Public,__ _______,Umm Al Quwain,____ _____,Cycle2,____ ______,Grade 7,____,Female,_______,Emirati,98.64%,221
2023-2024,_______ ________,Public,__ _______,Umm Al Quwain,____ _____,Cycle2,____ ______,Grade 7,____,Female,____,Resident,97.73%,44
2023-2024,_______ ________,Public,__ _______,Umm Al Quwain,____ _____,Cycle2,____ ______,Grade 7,___,Male,_______,Emirati,98.89%,180
2023-2024,_______ ________,Public,__ _______,Umm Al Quwain,____ _____,Cycle2,____ ______,Grade 7,___,Male,____,Resident,100.00%,40
2023-2024,_______ ________,Public,__ _______,Umm Al Quwain,____ _____,Cycle2,____ ______,Grade 6,____,Female,_______,Emirati,99.09%,219
2023-2024,_______ ________,Public,__ _______,Umm Al Quwain,____ _____,Cycle2,____ ______,Grade 6,____,Female,____,Resident,100.00%,40
2023-2024,_______ ________,Public,__ _______,Umm Al Quwain,____ _____,Cycle2,____ ______,Grade 6,___,Male,_______,Emirati,100.00%,194
2023-2024,_______ ________,Public,__ _______,Umm Al Quwain,____ _____,Cycle2,____ ______,Grade 6,___,Male,____,Resident,100.00%,37
2023-2024,_______ ________,Public,___,DUBAI,____ ____,Cycle1,____ _____,Grade 1,____,Female,_______,Emirati,100.00%,473
2023-2024,_______ ________,Public,___,DUBAI,____ ____,Cycle1,____ _____,Grade 1,____,Female,____,Resident,100.00%,112
2023-2024,_______ ________,Public,___,DUBAI,____ ____,Cycle1,____ _____,Grade 1,___,Male,_______,Emirati,99.34%,454
2023-2024,_______ ________,Public,___,DUBAI,____ ____,Cycle1,____ _____,Grade 1,___,Male,____,Resident,100.00%,109
2023-2024,_______ ________,Public,___,DUBAI,____ ____,Cycle1,____ ______,Grade 3,____,Female,_______,Emirati,99.69%,635
2023-2024,_______ ________,Public,___,DUBAI,____ ____,Cycle1,____ ______,Grade 3,____,Female,____,Resident,100.00%,169
2023-2024,_______ ________,Public,___,DUBAI,____ ____,Cycle1,____ ______,Grade 3,___,Male,_______,Emirati,100.00%,544
2023-2024,_______ ________,Public,___,DUBAI,____ ____,Cycle1,____ ______,Grade 3,___,Male,____,Resident,100.00%,142
2023-2024,_______ ________,Public,___,DUBAI,____ ____,Cycle1,____ ______,Grade 2,____,Female,_______,Emirati,100.00%,616
2023-2024,_______ ________,Public,___,DUBAI,____ ____,Cycle1,____ ______,Grade 2,____,Female,____,Resident,100.00%,120
2023-2024,_______ ________,Public,___,DUBAI,____ ____,Cycle1,____ ______,Grade 2,___,Male,_______,Emirati,100.00%,607
2023-2024,_______ ________,Public,___,DUBAI,____ ____,Cycle1,____ ______,Grade 2,___,Male,____,Resident,99.10%,111
2023-2024,_______ ________,Public,___,DUBAI,____ ____,Cycle1,____ ______,Grade 4,____,Female,_______,Emirati,99.70%,672
2023-2024,_______ ________,Public,___,DUBAI,____ ____,Cycle1,____ ______,Grade 4,____,Female,____,Resident,100.00%,170
2023-2024,_______ ________,Public,___,DUBAI,____ ____,Cycle1,____ ______,Grade 4,___,Male,_______,Emirati,99.85%,661
2023-2024,_______ ________,Public,___,DUBAI,____ ____,Cycle1,____ ______,Grade 4,___,Male,____,Resident,100.00%,154
2023-2024,_______ ________,Public,___,DUBAI,____ _____,Cycle3,____ ______,Grade 9,____,Female,_______,Emirati,93.05%,1280
2023-2024,_______ ________,Public,___,DUBAI,____ _____,Cycle3,____ ______,Grade 9,____,Female,____,Resident,89.97%,289
2023-2024,_______ ________,Public,___,DUBAI,____ _____,Cycle3,____ ______,Grade 9,___,Male,_______,Emirati,89.37%,1025
2023-2024,_______ ________,Public,___,DUBAI,____ _____,Cycle3,____ ______,Grade 9,___,Male,____,Resident,90.20%,255
2023-2024,_______ ________,Public,___,DUBAI,____ _____,Cycle3,____ ______ ___,Grade 12,____,Female,_______,Emirati,99.08%,978
2023-2024,_______ ________,Public,___,DUBAI,____ _____,Cycle3,____ ______ ___,Grade 12,____,Female,____,Resident,100.00%,199
2023-2024,_______ ________,Public,___,DUBAI,____ _____,Cycle3,____ ______ ___,Grade 12,___,Male,_______,Emirati,97.99%,847
2023-2024,_______ ________,Public,___,DUBAI,____ _____,Cycle3,____ ______ ___,Grade 12,___,Male,____,Resident,99.01%,202
2023-2024,_______ ________,Public,___,DUBAI,____ _____,Cycle3,____ ______ ___,Grade 11,____,Female,_______,Emirati,98.39%,1115
2023-2024,_______ ________,Public,___,DUBAI,____ _____,Cycle3,____ ______ ___,Grade 11,____,Female,____,Resident,98.88%,268
2023-2024,_______ ________,Public,___,DUBAI,____ _____,Cycle3,____ ______ ___,Grade 11,___,Male,_______,Emirati,95.72%,934
2023-2024,_______ ________,Public,___,DUBAI,____ _____,Cycle3,____ ______ ___,Grade 11,___,Male,____,Resident,95.74%,235
2023-2024,_______ ________,Public,___,DUBAI,____ _____,Cycle3,____ ______,Grade 10,____,Female,_______,Emirati,93.92%,1167
2023-2024,_______ ________,Public,___,DUBAI,____ _____,Cycle3,____ ______,Grade 10,____,Female,____,Resident,94.98%,239
2023-2024,_______ ________,Public,___,DUBAI,____ _____,Cycle3,____ ______,Grade 10,___,Male,_______,Emirati,87.70%,1081
2023-2024,_______ ________,Public,___,DUBAI,____ _____,Cycle3,____ ______,Grade 10,___,Male,____,Resident,88.48%,243
2023-2024,_______ ________,Public,___,DUBAI,____ _____,Cycle2,____ ______,Grade 8,____,Female,_______,Emirati,98.58%,985
2023-2024,_______ ________,Public,___,DUBAI,____ _____,Cycle2,____ ______,Grade 8,____,Female,____,Resident,97.98%,248
2023-2024,_______ ________,Public,___,DUBAI,____ _____,Cycle2,____ ______,Grade 8,___,Male,_______,Emirati,95.84%,793
2023-2024,_______ ________,Public,___,DUBAI,____ _____,Cycle2,____ ______,Grade 8,___,Male,____,Resident,97.24%,181
2023-2024,_______ ________,Public,___,DUBAI,____ _____,Cycle2,____ ______,Grade 5,____,Female,_______,Emirati,99.34%,903
2023-2024,_______ ________,Public,___,DUBAI,____ _____,Cycle2,____ ______,Grade 5,____,Female,____,Resident,99.55%,222
2023-2024,_______ ________,Public,___,DUBAI,____ _____,Cycle2,____ ______,Grade 5,___,Male,_______,Emirati,98.36%,792
2023-2024,_______ ________,Public,___,DUBAI,____ _____,Cycle2,____ ______,Grade 5,___,Male,____,Resident,97.13%,209
2023-2024,_______ ________,Public,___,DUBAI,____ _____,Cycle2,____ ______,Grade 7,____,Female,_______,Emirati,97.79%,1042
2023-2024,_______ ________,Public,___,DUBAI,____ _____,Cycle2,____ ______,Grade 7,____,Female,____,Resident,94.65%,243
2023-2024,_______ ________,Public,___,DUBAI,____ _____,Cycle2,____ ______,Grade 7,___,Male,_______,Emirati,95.35%,881
2023-2024,_______ ________,Public,___,DUBAI,____ _____,Cycle2,____ ______,Grade 7,___,Male,____,Resident,95.83%,216
2023-2024,_______ ________,Public,___,DUBAI,____ _____,Cycle2,____ ______,Grade 6,____,Female,_______,Emirati,98.34%,901
2023-2024,_______ ________,Public,___,DUBAI,____ _____,Cycle2,____ ______,Grade 6,____,Female,____,Resident,97.51%,201
2023-2024,_______ ________,Public,___,DUBAI,____ _____,Cycle2,____ ______,Grade 6,___,Male,_______,Emirati,92.61%,880
2023-2024,_______ ________,Public,___,DUBAI,____ _____,Cycle2,____ ______,Grade 6,___,Male,____,Resident,88.30%,188
2023-2024,_______ ________,Public,___ ______,Ras Al Khaimah,____ ____,Cycle1,____ _____,Grade 1,____,Female,_______,Emirati,100.00%,629
2023-2024,_______ ________,Public,___ ______,Ras Al Khaimah,____ ____,Cycle1,____ _____,Grade 1,____,Female,____,Resident,100.00%,31
2023-2024,_______ ________,Public,___ ______,Ras Al Khaimah,____ ____,Cycle1,____ _____,Grade 1,___,Male,_______,Emirati,100.00%,659
2023-2024,_______ ________,Public,___ ______,Ras Al Khaimah,____ ____,Cycle1,____ _____,Grade 1,___,Male,____,Resident,100.00%,40
2023-2024,_______ ________,Public,___ ______,Ras Al Khaimah,____ ____,Cycle1,____ ______,Grade 3,____,Female,_______,Emirati,99.89%,918
2023-2024,_______ ________,Public,___ ______,Ras Al Khaimah,____ ____,Cycle1,____ ______,Grade 3,____,Female,____,Resident,100.00%,51
2023-2024,_______ ________,Public,___ ______,Ras Al Khaimah,____ ____,Cycle1,____ ______,Grade 3,___,Male,_______,Emirati,100.00%,961
2023-2024,_______ ________,Public,___ ______,Ras Al Khaimah,____ ____,Cycle1,____ ______,Grade 3,___,Male,____,Resident,100.00%,54
2023-2024,_______ ________,Public,___ ______,Ras Al Khaimah,____ ____,Cycle1,____ ______,Grade 2,____,Female,_______,Emirati,100.00%,927
2023-2024,_______ ________,Public,___ ______,Ras Al Khaimah,____ ____,Cycle1,____ ______,Grade 2,____,Female,____,Resident,100.00%,31
